id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.769310377340766,-122.43385634488999,Entire home/apt,170,1,134,2018-04-22,1.25,1,125
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.745112331410034,-122.42101788836888,Entire home/apt,235,30,112,2017-08-06,1.02,1,334
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.766689597862175,-122.45250461761628,Private room,65,32,17,2016-11-21,0.16,7,365
8014,Newly Remodeled room in big house WIFI market,22402,Jia,,Outer Mission,37.73074592978503,-122.44840862635226,Private room,65,4,82,2018-04-28,1.17,3,99
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219421756,-122.45182799146508,Private room,65,32,7,2017-08-12,0.16,7,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.775248585892676,-122.43637374831292,Entire home/apt,575,5,26,2017-11-10,0.25,2,89
8567,Lovely 2BR flat Great Location ,25601,Sandy,,Western Addition,37.78470745496073,-122.44555431261594,Entire home/apt,255,2,28,2018-05-06,0.26,1,18
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75918889708064,-122.42236687240562,Private room,139,1,571,2018-05-04,5.35,2,148
8775,Hidden gem in Mission district,27037,Matt,,Mission,37.75174004606522,-122.40942059534281,Entire home/apt,285,4,26,2018-04-26,0.29,1,61
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885144137,-122.40543055237004,Private room,135,1,392,2018-04-28,3.77,1,315
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874294929672,-122.4132720164374,Entire home/apt,265,3,280,2018-04-24,2.66,1,251
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78573889680189,-122.40797710199777,Entire home/apt,139,30,17,2018-04-20,0.27,3,278
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946066375,-122.44594218370484,Private room,85,32,5,2016-10-16,0.06,7,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262424544,-122.44778223886064,Private room,85,32,5,2015-10-18,0.08,7,365
12522,Perfectly located Castro,18431,,,Castro/Upper Market,37.76074548179248,-122.43032405939661,Private room,79,3,359,2018-05-07,3.55,1,19
14125,Gallery Residence,55475,Olivia,,Mission,37.75490669862631,-122.42245501922534,Entire home/apt,215,3,87,2018-04-27,0.86,1,298
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252151838996,-122.43215647138362,Private room,110,2,306,2018-05-06,3.91,2,55
19040,Mission Garden Retreat,72731,David,,Mission,37.76348966609621,-122.41517400287555,Private room,188,5,217,2018-04-13,2.18,1,0
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76480029761001,-122.45251322942761,Private room,65,32,14,2017-08-16,0.17,7,365
23540,Modern in-Law Unit in the Happening,92400,Daniel & Svetlana,,Mission,37.75065032945569,-122.41983820914385,Entire home/apt,225,1,81,2018-05-07,0.82,1,122
23611,Bernal Heights Gem with Fab Views !,18732,Cecilia,,Bernal Heights,37.74556318786063,-122.41206808320703,Private room,95,3,211,2018-05-03,2.15,2,342
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.759630163946134,-122.4414323272976,Entire home/apt,155,3,313,2018-05-02,3.25,1,236
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.756445953809276,-122.39910232220872,Private room,155,2,238,2018-04-24,2.46,2,165
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.77161759839722,-122.4383620129092,Private room,79,1,157,2018-05-07,1.65,1,285
24723,Apartment-like rooms in PacHeights,100800,Cynthia,,Western Addition,37.78716464559002,-122.43386112927003,Entire home/apt,195,2,237,2018-05-06,2.41,2,89
25094,San Francisco's Luxury Oasis On Noe,103339,Bruce,,Noe Valley,37.741876130512445,-122.43121541816402,Private room,150,5,11,2017-11-08,0.48,1,342
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77728949301072,-122.43421149153566,Private room,110,2,350,2018-04-29,3.81,2,50
25662,"Convenient, quiet, private!",106005,Gayle,,Potrero Hill,37.762122016234294,-122.39540903672585,Private room,125,4,268,2018-04-06,2.82,1,262
25927,"CALEF HOUSE Rm 2, Priv Rm in Beaut SF Victorian",109045,Ronda,,Western Addition,37.78894736246063,-122.43030637005006,Private room,110,2,55,2018-04-21,0.76,3,273
26408,Huge Central Victorian/Alamo Square,111141,Isabella,,Western Addition,37.774778481770866,-122.43149873605402,Entire home/apt,393,3,26,2017-11-09,0.32,1,13
27025,"Elegant, Antique Edwardian Apartment on Castro",115673,Luis,,Castro/Upper Market,37.76297967565378,-122.43136441227804,Entire home/apt,175,30,129,2018-03-31,1.33,1,37
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76097556330237,-122.4215807919612,Private room,199,1,23,2018-04-19,0.63,2,0
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77930831937839,-122.50518320762502,Private room,155,2,33,2018-04-19,0.35,1,247
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.740254505653716,-122.41259087293635,Entire home/apt,150,30,92,2016-09-27,0.97,1,205
32802,Garden Flat in Telegraph Hill,141990,Bosco,,North Beach,37.798346824645584,-122.4046102140624,Entire home/apt,195,4,27,2017-09-09,0.28,1,67
33577,Potrero Hill Garden Suite,145258,Kepa,,Potrero Hill,37.76514606125046,-122.39750094268479,Entire home/apt,220,1,568,2018-05-04,6.56,4,0
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76525618558157,-122.39730470636793,Entire home/apt,220,1,519,2018-05-04,5.58,4,295
38607,Beautiful Upscale House Private BR,165574,Jonathan,,Presidio Heights,37.78197461686888,-122.45809229686044,Private room,119,3,175,2018-01-02,1.84,2,53
39174,Bette's New Place,127367,Annette,,Noe Valley,37.74830167460932,-122.4248849594586,Entire home/apt,107,30,20,2017-08-25,0.25,20,342
41055,Cozy Castro Cottage with Cat,178043,Chas,,Castro/Upper Market,37.76125009086864,-122.43335472254522,Entire home/apt,159,4,37,2018-05-06,0.40,2,158
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74082733936336,-122.4176300810205,Private room,128,2,189,2018-05-07,2.02,1,297
