id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.780707805327296,-122.50915996453602,Entire home/apt,150,1,0,,,1,2
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,,Seacliff,37.7848860798736,-122.49287168597301,Private room,105,2,20,2016-05-18,2.99,1,17
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.780659020499094,-122.50563477930223,Private room,99,3,21,2016-05-31,1.84,2,122
9904485,Great Room!,13046907,John,,Seacliff,37.78548685790055,-122.48801127129538,Private room,195,1,0,,,2,0
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,,Seacliff,37.78766423088835,-122.48915222761799,Entire home/apt,895,3,0,,,1,0
10961737,Spacious 1bd with balcony,55986312,Djibril,,Seacliff,37.78556600758731,-122.48872855186117,Private room,300,1,0,,,1,365
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931903796439,-122.50963522313913,Entire home/apt,192,3,77,2016-05-28,3.57,2,58
69681,Panorama Pacific View,127367,Annette,,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,325,18,5,2016-03-24,0.09,26,365
2134100,Ocean Beach hilltop cottage,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,135,1,171,2016-05-27,5.98,1,243
1427660,Charming Studio Apt at Ocean Beach,2275604,Laurie,,Seacliff,37.77523612890901,-122.50913745067113,Entire home/apt,150,2,227,2016-05-26,6.74,1,239
4781448,3 Bd 2.5 Ba Full Flat Condo w Views,13112558,Pam,,Seacliff,37.781796503922656,-122.49249210833337,Entire home/apt,395,3,6,2016-04-04,0.61,1,0
11187767,Huge Seacliff Penthouse With Views,58242037,Jonathan,,Seacliff,37.77968470054454,-122.51047169622683,Entire home/apt,400,2,1,2016-03-23,0.42,1,188
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156408540695,-122.49442445483002,Private room,85,2,35,2016-05-29,1.23,2,7
8087607,Single Room Beautiful Beach Condo,3264449,Keith,,Seacliff,37.77531800696514,-122.511620556222,Private room,79,1,0,,,1,0
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,,Seacliff,37.78213277410354,-122.49273026951246,Entire home/apt,195,2,1,2016-05-15,1,2,24
9395222,"Ocean Beach, Lands End Escape",25963295,Tyler,,Seacliff,37.78143337110802,-122.50517932748954,Entire home/apt,155,1,36,2016-05-16,5.40,1,129
13298289,Bedroom in Beautiful Victorian,8725338,Kavita,,Haight Ashbury,37.772379660041985,-122.43915917985369,Private room,80,3,1,2016-06-01,1,1,0
10926639,Large room w/ own bathroom & 2 beds,196333,Erik,,Haight Ashbury,37.77362983628423,-122.44656752449144,Private room,97,2,6,2016-05-26,1.54,1,54
9186305,Charming Golden Gate Park Home,5317770,Clifton,,Haight Ashbury,37.76970269797365,-122.45234141889661,Private room,80,3,18,2016-05-08,3.18,1,0
12005182,Blue House Grotto,64201770,Sherri,,Haight Ashbury,37.771916611285604,-122.4435415087459,Private room,125,1,1,2016-04-01,0.48,1,0
8017537,Haight/Cole valley 1 bedroom in SF,27052102,Munique,,Haight Ashbury,37.76662125375747,-122.44729382427111,Private room,89,3,3,2016-06-01,0.33,1,277
4030029,"Clean, well-lit private room",10815497,Eric,,Haight Ashbury,37.76350325111489,-122.4477675121194,Private room,150,1,1,2015-09-15,0.11,1,365
130775,Emergency happy Weekly room-sink/tv,21994,Aaron,,Haight Ashbury,37.76608594076294,-122.45126197318658,Private room,65,7,7,2015-09-26,0.15,7,335
13282536,A Little Peace N' Haightven,74905944,Brandon,,Haight Ashbury,37.771484298749606,-122.44018364377133,Private room,100,1,0,,,1,26
12889877,NoPA - Large Bedroom in Home | TV | Parking | Yard,70400368,Leslie,,Haight Ashbury,37.77515147695379,-122.43946165672745,Private room,110,1,0,,,4,77
7858587,Haight Ashbury Experience Room L,1032643,Josh,,Haight Ashbury,37.77042567291009,-122.44824969788176,Private room,96,2,24,2016-05-30,2.59,6,328
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.771078858413105,-122.44941835017579,Private room,108,2,190,2016-05-27,3.30,6,299
8783746,"Private Bathroom, Modern Apt, Patio",959569,William,,Haight Ashbury,37.77486341290762,-122.44536944273038,Private room,150,2,0,,,1,268
8371368,Studio in front Golden Gate Park,6109538,Jameson,,Haight Ashbury,37.77284986440564,-122.44712247184961,Private room,100,1,0,,,1,0
4695477,Private Garden Studio near UCSF,8812791,Maria,,Haight Ashbury,37.7661175649583,-122.45173647978058,Private room,139,2,49,2016-05-22,2.91,2,48
8189664,Private Master Bedroom + Bathroom!,18160955,Asya,,Haight Ashbury,37.77170695859238,-122.44502417895391,Private room,106,6,0,,,1,0
7502595,Beautiful room in Haight Victorian,10487703,Siraj,,Haight Ashbury,37.77159191074387,-122.4456650686767,Private room,200,1,0,,,1,0
