Month;AllBeds;1Beds;2Beds
01-2011;2451;2176;2611
02-2011;2563;2201;2768
03-2011;2535;2216;2714
04-2011;2519;2197;2759
05-2011;2594;2112;2923
06-2011;2534;2044;2856
07-2011;2426;2014;2811
08-2011;2563;2328;3125
09-2011;2840;2593;3575
10-2011;3055;2709;3880
11-2011;3174;2840;3915
12-2011;3066;2745;3784
01-2012;3103;2789;3793
02-2012;3098;2874;3738
03-2012;2777;2649;3281
04-2012;3109;2835;3792
05-2012;3010;2872;3661
06-2012;2940;2716;3685
07-2012;3074;2819;3666
08-2012;3141;2881;3642
09-2012;3112;2818;3602
10-2012;3094;2816;3641
11-2012;3047;2735;3593
12-2012;2898;2661;3394
01-2013;2978;2676;3621
02-2013;2934;2723;3585
03-2013;3159;2878;3937
04-2013;3178;2955;3967
05-2013;3264;2957;4071
06-2013;3429;3222;4265
07-2013;3407;3081;4226
08-2013;3415;2900;4152
09-2013;3356;2903;4085
10-2013;3398;3000;4197
11-2013;3384;2936;4191
12-2013;3431;2944;4099
01-2014;3358;2957;3983
02-2014;3407;3045;4045
03-2014;3378;2996;4024
04-2014;3362;3027;4106
05-2014;3399;3090;4298
06-2014;3418;3134;4287
07-2014;3524;3180;4338
08-2014;3532;3183;4345
09-2014;3485;3164;4324
10-2014;3458;3207;4307
11-2014;3553;3218;4456
12-2014;3577;3232;4442
01-2015;3582;3285;4567
02-2015;3464;3246;4504
03-2015;3691;3343;4537
04-2015;3652;3348;4377
05-2015;3697;3370;4419
06-2015;3847;3411;4566
07-2015;3829;3448;4687
08-2015;3815;3491;4720
09-2015;3769;3483;4663
10-2015;3852;3449;4650
11-2015;3798;3425;4568
12-2015;3754;3410;4544
01-2016;3772;3451;4556
02-2016;3814;3448;4610
03-2016;3842;3434;4646
04-2016;4040;3544;4840
05-2016;4003;3540;4790
06-2016;3907;3490;4754
07-2016;3907;3448;4756
08-2016;3866;3367;4683
09-2016;3825;3382;4621
10-2016;3799;3373;4576
11-2016;3716;3336;4469
12-2016;3768;3357;4487
01-2017;3871;3407;4631
02-2017;3809;3368;4597
03-2017;3728;3364;4535
04-2017;3703;3363;4539
05-2017;3739;3448;4571
06-2017;3803;3500;4637
07-2017;3828;3491;4669
08-2017;3737;3402;4611
09-2017;3684;3398;4555
10-2017;3671;3377;4519
11-2017;3615;3354;4451
12-2017;3624;3372;4446
01-2018;3670;3405;4492
02-2018;3600;3341;4423
03-2018;3558;3281;4431
04-2018;3552;3262;4453
05-2018;3621;3295;4484
06-2018;3697;3334;4509
07-2018;3738;3340;4602
08-2018;3754;3363;4567
09-2018;3735;3334;4552
10-2018;3694;3303;4481
11-2018;3677;3294;4460
12-2018;3693;3304;4494
01-2019;3772;3412;4553
02-2019;3787;3402;4494
03-2019;3811;3448;4542
04-2019;3933;3600;4690
10-2019;3870;3601;4713
11-2019;3780;3513;4597
12-2019;3807;3468;4610
01-2020;3783;3438;4520
03-2020;3758;3446;4498
04-2020;3767;3411;4483
05-2020;3788;3422;4514
06-2020;3715;3384;4417
07-2020;3585;3327;4328
08-2020;3357;3074;4037
09-2020;3143;2940;3824
10-2020;3188;2946;3885
